# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CNAG_00001	gene-CNAG_00001	XM_012190753.1	protein_coding	0	0	0	229	0	0	0	0	0	0	0	57	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	125
CNAG_00002	gene-CNAG_00002	XM_012190755.1	protein_coding	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221
CNAG_00003	gene-CNAG_00003	XM_012191065.1	protein_coding	0	0	0	212	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
CNAG_00004	gene-CNAG_00004	XM_012191066.1	protein_coding	0	0	0	96	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
CNAG_00005	gene-CNAG_00005	XM_012190756.1	protein_coding	0	0	0	81	0	0	0	0	0	0	0	65	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13
CNAG_00006	gene-CNAG_00006	XM_012191067.1	protein_coding	0	0	0	130	0	0	0	0	0	0	0	85	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	17
CNAG_00007	gene-CNAG_00007	XM_012191068.1	protein_coding	0	0	0	156	0	0	0	0	0	0	0	78	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	31
CNAG_00008	gene-CNAG_00008	XM_012190757.1	protein_coding	0	0	0	256	0	0	0	0	0	0	0	113	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	78
CNAG_00009	gene-CNAG_00009	XM_012190758.1	protein_coding	0	0	0	202	0	0	0	0	0	0	0	76	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	81
CNAG_00010	gene-CNAG_00010	XM_012190759.1	protein_coding	0	0	0	221	0	0	0	0	0	0	0	58	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	117
CNAG_00011	gene-CNAG_00011	XM_012191069.1	protein_coding	0	0	0	188	0	0	0	0	0	0	0	102	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	67
CNAG_00012	gene-CNAG_00012	XM_012191070.1	protein_coding	0	0	0	182	0	0	0	0	0	0	0	115	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	48
CNAG_00013	gene-CNAG_00013	XM_012191071.1	protein_coding	0	0	0	178	0	0	0	0	0	0	0	50	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	60
CNAG_00013	gene-CNAG_00013	XM_012191072.1	protein_coding	0	0	0	178	0	0	0	0	0	0	0	50	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	60
